REF_AREA,area_name,total_work_hours
JPN,Japan,53.00846577
SGP,Singapore,46.78274835
CA48,Alberta,46.34242878
CN09,Shanghai,46.32266327
NZL,New Zealand,45.43729115
USA,United States,44.12671323
AUS,Australia,43.96671181
VNM,Viet Nam,43.48794959
KOR,Korea,43.09914981
SWE,Sweden,42.33990821
CRI,Costa Rica,41.1664376
HRV,Croatia,40.5241512
ARE,United Arab Emirates,40.37600514
HUN,Hungary,40.1488926
PRT,Portugal,39.70139458
SVN,Slovenia,39.67081597
LTU,Lithuania,39.14677421
DNK,Denmark,38.91101345
CZE,Czechia,38.81543967
ESP,Spain,38.72851921
COL,Colombia,38.68772573
CHL,Chile,38.29057905
NOR,Norway,37.98719967
BGR,Bulgaria,37.96643911
EST,Estonia,37.78924346
MLT,Malta,37.73058637
AUT,Austria,37.63344611
BHR,Bahrain,37.52613405
FRA,France,37.22539548
LVA,Latvia,36.83199144
ISL,Iceland,36.74423362
SRB,Serbia,36.36275554
ZAF,South Africa,36.00069443
POL,Poland,35.91120169
SVK,Slovak Republic,35.80897473
MNE,Montenegro,35.7251795
ROU,Romania,35.41331901
BEL,Belgium,35.31548272
KAZ,Kazakhstan,34.80946143
FIN,Finland,34.74974134
NLD,Netherlands,34.52410968
MKD,North Macedonia,32.67495448
UZB,Uzbekistan,32.49956904
BRA,Brazil,32.32264148
CYP,Cyprus,31.61780401
ITA,Italy,31.01927198
MAR,Morocco,30.42569931
ISR,Israel,29.97675409
SAU,Saudi Arabia,29.70891162
TUR,Türkiye,29.69190881
XKV,Kosovo,29.02494225
ALB,Albania,28.58611089
AZE,Azerbaijan,23.17326963
