REF_AREA,area_name,total_work_hours,teaching_hours,non_teaching_hours,teaching_share_pct,non_teaching_share_pct
JPN,Japan,53.00846577,17.39303129,35.615434480000005,32.81179909161517,67.18820090838483
SGP,Singapore,46.78274835,17.56677225,29.2159761,37.549679891775746,62.450320108224254
NOR,Norway,37.98719967,15.91911762,22.06808205,41.906531037537775,58.09346896246222
CN09,Shanghai,46.32266327,20.0165997,26.30606357,43.211245396944555,56.78875460305545
KOR,Korea,43.09914981,18.65225721,24.4468926,43.27755255550828,56.72244744449171
AUS,Australia,43.96671181,19.26086846,24.70584335,43.80784385977033,56.19215614022968
SWE,Sweden,42.33990821,18.56066367,23.779244539999997,43.83727895190919,56.1627210480908
NZL,New Zealand,45.43729115,20.83369279,24.60359836,45.85152913544671,54.14847086455329
NLD,Netherlands,34.52410968,16.15859448,18.3655152,46.80379778007935,53.19620221992064
PRT,Portugal,39.70139458,19.4483618,20.253032779999998,48.98659607740157,51.01340392259843
CZE,Czechia,38.81543967,19.02089633,19.794543340000004,49.003428768838674,50.99657123116133
MLT,Malta,37.73058637,18.77982886,18.95075751,49.7734879491087,50.2265120508913
DNK,Denmark,38.91101345,19.43510223,19.47591122,49.947561131949904,50.052438868050096
FRA,France,37.22539548,18.96158896,18.263806520000003,50.93723979423522,49.06276020576478
SRB,Serbia,36.36275554,18.57401142,17.78874412,51.07976869235912,48.92023130764088
ROU,Romania,35.41331901,18.16987814,17.24344087,51.30803507818399,48.691964921816
HRV,Croatia,40.5241512,20.88389012,19.64026108,51.534429473750464,48.465570526249536
AUT,Austria,37.63344611,19.66233393,17.971112180000002,52.246966362124624,47.753033637875376
BEL,Belgium,35.31548272,18.79006426,16.525418459999997,53.206307298636304,46.793692701363696
HUN,Hungary,40.1488926,21.41869386,18.730198740000002,53.34815600866661,46.6518439913334
ESP,Spain,38.72851921,20.74207862,17.98644059,53.557634123651795,46.44236587634821
VNM,Viet Nam,43.48794959,23.31383833,20.17411126,53.609881702403804,46.390118297596196
ISL,Iceland,36.74423362,19.72343105,17.020802570000004,53.67762260052819,46.32237739947181
BGR,Bulgaria,37.96643911,20.69043812,17.276000990000004,54.49665179305776,45.50334820694224
EST,Estonia,37.78924346,20.70457862,17.084664840000002,54.78960869358456,45.21039130641543
ALB,Albania,28.58611089,15.811173,12.77493789,55.31068238292978,44.68931761707023
SVN,Slovenia,39.67081597,22.17207126,17.49874471,55.890131619090056,44.10986838090994
ITA,Italy,31.01927198,17.4963319,13.522940079999998,56.40471482142116,43.59528517857884
MNE,Montenegro,35.7251795,20.15310073,15.572078770000005,56.41147507740303,43.58852492259697
CYP,Cyprus,31.61780401,18.09588787,13.521916140000002,57.23322171355315,42.76677828644686
LTU,Lithuania,39.14677421,22.42764673,16.719127479999997,57.29117451590912,42.70882548409089
SVK,Slovak Republic,35.80897473,20.51948122,15.289493510000003,57.30262140906595,42.69737859093405
POL,Poland,35.91120169,20.87139787,15.03980382,58.11946381012348,41.88053618987652
CA48,Alberta,46.34242878,27.08309117,19.25933761,58.44124247041676,41.55875752958324
ARE,United Arab Emirates,40.37600514,23.65120362,16.724801519999996,58.57737420527781,41.422625794722194
LVA,Latvia,36.83199144,22.24961676,14.582374680000004,60.40840011663512,39.591599883364886
USA,United States,44.12671323,27.37337546,16.75333777,62.03356981817972,37.96643018182028
FIN,Finland,34.74974134,21.5943203,13.15542104,62.14239147484831,37.85760852515169
UZB,Uzbekistan,32.49956904,20.8264106,11.673158439999998,64.0821131331531,35.91788686684689
KAZ,Kazakhstan,34.80946143,22.37558149,12.43387994,64.28017145567196,35.719828544328045
XKV,Kosovo,29.02494225,18.92929346,10.095648789999998,65.21733375714125,34.78266624285875
BHR,Bahrain,37.52613405,24.59470134,12.931432710000003,65.54019475395441,34.4598052460456
COL,Colombia,38.68772573,25.98816868,12.699557049999996,67.17419592294034,32.82580407705966
ISR,Israel,29.97675409,20.75572553,9.22102856,69.23940286424786,30.760597135752136
MAR,Morocco,30.42569931,21.41463735,9.01106196,70.38338587327608,29.616614126723913
MKD,North Macedonia,32.67495448,23.24185879,9.433095689999998,71.13050089855855,28.869499101441438
CRI,Costa Rica,41.1664376,29.30295399,11.863483610000003,71.18166083431032,28.81833916568968
BRA,Brazil,32.32264148,23.60676585,8.715875630000003,73.03476686646093,26.965233133539066
SAU,Saudi Arabia,29.70891162,21.71904189,7.989869729999999,73.1061513387073,26.893848661292694
TUR,Türkiye,29.69190881,21.78416018,7.90774863,73.3673281815525,26.632671818447502
ZAF,South Africa,36.00069443,26.6087358,9.391958630000001,73.91172926327354,26.088270736726454
CHL,Chile,38.29057905,28.43463019,9.855948859999998,74.26012062358717,25.739879376412823
AZE,Azerbaijan,23.17326963,19.44070377,3.732565860000001,83.89279579620548,16.107204203794527
