REF_AREA,area_name,admin_stress_high_pct
PRT,Portugal,79.26867841
BEL,Belgium,70.32248167
AUS,Australia,69.01617857
MNE,Montenegro,66.25829042
ZAF,South Africa,66.12196045
CRI,Costa Rica,65.17193037999999
SWE,Sweden,64.79150637000001
ESP,Spain,64.25874881
SRB,Serbia,64.16825164
SVN,Slovenia,63.04811407
JPN,Japan,62.822299869999995
FRA,France,57.65948419
CHL,Chile,56.879278330000005
HRV,Croatia,56.834593749999996
AUT,Austria,56.56791283
ITA,Italy,56.236612040000004
NZL,New Zealand,55.816885580000005
HUN,Hungary,55.04924988
BRA,Brazil,54.35039054
MLT,Malta,53.467280779999996
SVK,Slovak Republic,53.037468880000006
MKD,North Macedonia,53.00990442
SGP,Singapore,52.819965599999996
NOR,Norway,52.62289079
LTU,Lithuania,51.16805781
CZE,Czechia,51.06122304
SAU,Saudi Arabia,50.627134760000004
NLD,Netherlands,49.95781466
KOR,Korea,49.63485972
TUR,Türkiye,47.93836222
XKV,Kosovo,47.155123540000005
BHR,Bahrain,44.73313122
POL,Poland,43.81317874
DNK,Denmark,42.31732132
ARE,United Arab Emirates,40.95408355
VNM,Viet Nam,40.807601338
FIN,Finland,40.17533502
EST,Estonia,39.12731582
CA48,Alberta,38.86807744
LVA,Latvia,38.320247062
ROU,Romania,36.95752136
BGR,Bulgaria,35.57560726
UZB,Uzbekistan,31.331910126
ISL,Iceland,31.2903322
ALB,Albania,31.240387310000003
COL,Colombia,30.65038642
AZE,Azerbaijan,30.19256615
CYP,Cyprus,29.79123769
CN09,Shanghai,29.227563529999998
USA,United States,28.911611549999996
ISR,Israel,28.364115542999997
KAZ,Kazakhstan,25.39941394
MAR,Morocco,24.638682151
