REF_AREA,area_name,non_teaching_hours,admin_stress_high_pct,fitted_stress_pct,residual_pp,absolute_residual_pp,absolute_residual_rank,label_residual,label_x_extreme
PRT,Portugal,20.253032779999998,79.26867841,51.01530858839592,28.25336982160409,28.25336982160409,1,True,False
CN09,Shanghai,26.30606357,29.227563529999998,55.31371589600023,-26.086152366000235,26.086152366000235,2,True,False
ZAF,South Africa,9.391958630000001,66.12196045,43.302590428772575,22.819370021227428,22.819370021227428,3,True,False
BEL,Belgium,16.525418459999997,70.32248167,48.368237197401314,21.95424447259869,21.95424447259869,4,True,False
CRI,Costa Rica,11.863483610000003,65.17193037999999,45.05768162251134,20.114248757488653,20.114248757488653,5,False,False
KAZ,Kazakhstan,12.43387994,25.39941394,45.46273420495536,-20.06332026495536,20.06332026495536,6,False,False
USA,United States,16.75333777,28.911611549999996,48.530088352902894,-19.618476802902897,19.618476802902897,7,False,False
MNE,Montenegro,15.572078770000005,66.25829042,47.69124703622535,18.567043383774646,18.567043383774646,8,False,False
MAR,Morocco,9.01106196,24.638682151,43.03210625537716,-18.393424104377157,18.393424104377157,9,False,False
ISL,Iceland,17.020802570000004,31.2903322,48.720021741767574,-17.429689541767573,17.429689541767573,10,False,False
CYP,Cyprus,13.521916140000002,29.79123769,46.23537569898913,-16.444138008989132,16.444138008989132,11,False,False
COL,Colombia,12.699557049999996,30.65038642,45.65139811080792,-15.001011690807918,15.001011690807918,12,False,False
SRB,Serbia,17.78874412,64.16825164,49.26535608498392,14.902895555016073,14.902895555016073,13,False,False
ESP,Spain,17.98644059,64.25874881,49.40574525213296,14.85300355786704,14.85300355786704,14,False,False
AUS,Australia,24.70584335,69.01617857,54.17735982479244,14.838818745207554,14.838818745207554,15,False,False
ISR,Israel,9.22102856,28.364115542999997,43.18120874619611,-14.817093203196116,14.817093203196116,16,False,False
ALB,Albania,12.77493789,31.240387310000003,45.7049279150912,-14.464540605091194,14.464540605091194,17,False,False
SVN,Slovenia,17.49874471,63.04811407,49.05942031059396,13.98869375940604,13.98869375940604,18,False,False
UZB,Uzbekistan,11.673158439999998,31.331910126,44.9225269983352,-13.5906168723352,13.5906168723352,19,False,False
BGR,Bulgaria,17.276000990000004,35.57560726,48.90124446993035,-13.325637209930349,13.325637209930349,20,False,False
CHL,Chile,9.855948859999998,56.879278330000005,43.63208140023499,13.247196929765018,13.247196929765018,21,False,False
ROU,Romania,17.24344087,36.95752136,48.87812272107427,-11.920601361074269,11.920601361074269,22,False,False
BRA,Brazil,8.715875630000003,54.35039054,42.82248712043519,11.527903419564808,11.527903419564808,23,False,False
CA48,Alberta,19.25933761,38.86807744,50.30966099986629,-11.441583559866288,11.441583559866288,24,False,False
SWE,Sweden,23.779244539999997,64.79150637000001,53.51935902580403,11.272147344195979,11.272147344195979,25,False,False
VNM,Viet Nam,20.17411126,40.807601338,50.95926445941913,-10.151663121419134,10.151663121419134,26,False,False
ITA,Italy,13.522940079999998,56.236612040000004,46.23610282418166,10.000509215818347,10.000509215818347,27,False,False
MKD,North Macedonia,9.433095689999998,53.00990442,43.33180287547109,9.678101544528907,9.678101544528907,28,False,False
EST,Estonia,17.084664840000002,39.12731582,48.765371923779156,-9.638056103779157,9.638056103779157,29,False,False
AZE,Azerbaijan,3.732565860000001,30.19256615,39.283715243244075,-9.091149093244073,9.091149093244073,30,False,True
LVA,Latvia,14.582374680000004,38.320247062,46.98843361260127,-8.66818655060127,8.66818655060127,31,False,False
SAU,Saudi Arabia,7.989869729999999,50.627134760000004,42.306932322485146,8.320202437514858,8.320202437514858,32,False,False
DNK,Denmark,19.47591122,42.31732132,50.463455292371165,-8.146133972371167,8.146133972371167,33,False,False
FRA,France,18.263806520000003,57.65948419,49.602709679005216,8.056774510994785,8.056774510994785,34,False,False
ARE,United Arab Emirates,16.724801519999996,40.95408355,48.50982405394471,-7.555740503944712,7.555740503944712,35,False,False
AUT,Austria,17.971112180000002,56.56791283,49.39486016797532,7.173052662024681,7.173052662024681,36,False,False
HRV,Croatia,19.64026108,56.834593749999996,50.58016420460647,6.254429545393528,6.254429545393528,37,False,False
FIN,Finland,13.15542104,40.17533502,45.97511843767737,-5.799783417677368,5.799783417677368,38,False,False
TUR,Türkiye,7.90774863,47.93836222,42.24861609238573,5.689746127614271,5.689746127614271,39,False,False
SVK,Slovak Republic,15.289493510000003,53.037468880000006,47.49057623365617,5.546892646343835,5.546892646343835,40,False,False
HUN,Hungary,18.730198740000002,55.04924988,49.93390636314727,5.115343516852725,5.115343516852725,41,False,False
SGP,Singapore,29.2159761,52.819965599999996,57.380116963066556,-4.560151363066559,4.560151363066559,42,False,False
KOR,Korea,24.4468926,49.63485972,53.993472474021246,-4.3586127540212445,4.3586127540212445,43,False,False
POL,Poland,15.03980382,43.81317874,47.313265391308796,-3.5000866513087985,3.5000866513087985,44,False,False
MLT,Malta,18.95075751,53.467280779999996,50.09053061661885,3.3767501633811463,3.3767501633811463,45,False,False
XKV,Kosovo,10.095648789999998,47.155123540000005,43.802298266213334,3.352825273786671,3.352825273786671,46,False,False
LTU,Lithuania,16.719127479999997,51.16805781,48.505794777397846,2.662263032602155,2.662263032602155,47,False,False
NZL,New Zealand,24.60359836,55.816885580000005,54.104753121236925,1.7121324587630795,1.7121324587630795,48,False,False
BHR,Bahrain,12.931432710000003,44.73313122,45.81605876858058,-1.0829275485805852,1.0829275485805852,49,False,False
JPN,Japan,35.615434480000005,62.822299869999995,61.92453109536302,0.8977687746369725,0.8977687746369725,50,False,True
CZE,Czechia,19.794543340000004,51.06122304,50.689723864357966,0.37149917564203605,0.37149917564203605,51,False,False
NOR,Norway,22.06808205,52.62289079,52.30422009677929,0.3186706932207102,0.3186706932207102,52,False,False
NLD,Netherlands,18.3655152,49.95781466,49.674935535526714,0.2828791244732827,0.2828791244732827,53,False,False
