REF_AREA,area_name,teaching_hours,non_teaching_hours,admin_stress_high_pct
PRT,Portugal,0.26958552045099576,0.5181612456802827,1.0
BEL,Belgium,0.22079303408556156,0.4012453444033919,0.8362402095437419
AUS,Australia,0.2556886642732259,0.6578227869007853,0.8123283810712147
MNE,Montenegro,0.3218202054434623,0.3713440296452221,0.7618453435669672
ZAF,South Africa,0.8003067058383967,0.17750575826322867,0.7593498286605841
CRI,Costa Rica,1.0,0.2550246606385822,0.7419595644274339
SWE,Sweden,0.20379004610569212,0.6287601946653191,0.7349959174193618
ESP,Spain,0.36547477487625607,0.44707002057708817,0.7252438105827766
SRB,Serbia,0.2047793706440829,0.4408693090803822,0.7235872633340644
SVN,Slovenia,0.47146468392235585,0.4317735337454713,0.7030831877948782
JPN,Japan,0.11724606937901381,1.0,0.6989496674678876
FRA,France,0.23350630745748568,0.45576954925833146,0.6044445231599297
CHL,Chile,0.9356405354753687,0.19205872197330517,0.5901628846201602
HRV,Croatia,0.37598572966459043,0.49894177997588207,0.5893449350858392
AUT,Austria,0.28544496333393266,0.4465892479658563,0.5844633510063589
ITA,Italy,0.12490262784794888,0.3070731914586422,0.5783989026686855
NZL,New Zealand,0.37226514377328335,0.6546158925896548,0.5707158258108713
HUN,Hungary,0.41562495449312814,0.47039785091960146,0.5566642835709514
BRA,Brazil,0.5778030977361721,0.15630054589485684,0.5438716899803036
MLT,Malta,0.22003439443616396,0.47731563402841626,0.5277063994718951
SVK,Slovak Republic,0.34897603388980003,0.36248079768927643,0.5198387090191582
MKD,North Macedonia,0.5507564787412103,0.17879601418374494,0.5193341426291236
SGP,Singapore,0.13012361016690352,0.7992822271962803,0.5158573197661033
NOR,Norway,0.008000768770261487,0.5750899145410711,0.5122498728780298
LTU,Lithuania,0.49040773304162566,0.40732099030303615,0.48561921061141244
CZE,Czechia,0.2379021222164087,0.5037808131833026,0.48366360421719823
SAU,Saudi Arabia,0.43788650989657074,0.1335295114357874,0.4757176347915005
NLD,Netherlands,0.025750601811392236,0.45895962231017084,0.46346575586354355
KOR,Korea,0.210578885923644,0.6497008467740566,0.4575540779921252
TUR,Türkiye,0.4427130253913202,0.13095379903742171,0.4264997558948487
XKV,Kosovo,0.23111259086633013,0.19957686385874512,0.4121626017005362
BHR,Bahrain,0.6510280849140881,0.288520677346755,0.36782812456608105
POL,Poland,0.37505981410094025,0.35464932891600004,0.35098842947185993
DNK,Denmark,0.2686027317435723,0.4937869784440995,0.32360681639416244
ARE,United Arab Emirates,0.5810967896537136,0.40749895546883175,0.2986528009566195
VNM,Viet Nam,0.5560915445900667,0.5156858874890033,0.29597144964724853
FIN,Finland,0.4286422455483396,0.2955460279408195,0.28439783878697256
EST,Estonia,0.36269530491392893,0.4187859988114206,0.26521388726277045
CA48,Alberta,0.8354655459019573,0.4869941891069398,0.2604685385944133
LVA,Latvia,0.4772122942680527,0.3403021525231879,0.2504405243986454
ROU,Romania,0.17482533564310412,0.4237659782446514,0.22549588234633158
BGR,Bulgaria,0.36164722238053465,0.42478722010303227,0.20019999739974711
UZB,Uzbekistan,0.371725393683551,0.2490551485388894,0.12251928305591499
ISL,Iceland,0.2899734329292577,0.4167829710800973,0.12175820070469391
ALB,Albania,0.0,0.2836122476234072,0.12084396139625224
COL,Colombia,0.754310767981122,0.2812479421746585,0.11004401758511198
AZE,Azerbaijan,0.269017913401513,0.0,0.10166363498670433
CYP,Cyprus,0.16934123609725144,0.3070410757788331,0.0943173328178865
CN09,Shanghai,0.31170285843781703,0.7080133842109718,0.08399929879629091
USA,United States,0.8569811849577021,0.4083939894239039,0.07821580984084457
ISR,Israel,0.3664862729142181,0.17214456971908443,0.06819391629349142
KAZ,Kazakhstan,0.48654869915732296,0.27291503106912085,0.013925166412118708
MAR,Morocco,0.4153242892212113,0.16555900797109635,0.0
