REF_AREA,TIME_PERIOD,total_work_hours,teaching_hours,Q77_B_1,Q77_B_2,Q77_B_3,Q77_B_4,admin_stress_high_pct,Q78_C_1,Q78_C_2,Q78_C_3,Q78_C_4,school_recommend_positive_pct,area_name,non_teaching_hours
ALB,2024,28.58611089,15.811173,30.58170227,38.17791042,21.04394147,10.19644584,31.240387310000003,2.975694753,3.570866609,42.42327461,51.03016403,93.45343864,Albania,12.77493789
CA48,2024,46.34242878,27.08309117,22.7747662,38.35715636,22.4143896,16.45368784,38.86807744,4.682589202,9.282960645,48.7976815,37.23676865,86.03445015,Alberta,19.25933761
AUS,2024,43.96671181,19.26086846,7.047334408,23.93648703,33.85773239,35.15844618,69.01617857,3.091751342,13.9951253,52.75255243,30.16057093,82.91312336,Australia,24.70584335
AUT,2024,37.63344611,19.66233393,13.87925177,29.5528354,28.4799476,28.08796523,56.56791283,3.198797601,10.76908876,36.91707798,49.11503566,86.03211364,Austria,17.971112180000002
AZE,2024,23.17326963,19.44070377,37.3289986,32.47843525,18.90214071,11.29042544,30.19256615,4.720476358,10.28377493,54.72749565,30.26825306,84.99574871,Azerbaijan,3.732565860000001
BHR,2024,37.52613405,24.59470134,23.35116607,31.91570271,23.91810987,20.81502135,44.73313122,6.228291382,12.65416987,51.78932873,29.32821002,81.11753875,Bahrain,12.931432710000003
BEL,2024,35.31548272,18.79006426,8.241963855,21.43555447,32.62419666,37.69828501,70.32248167,2.517796757,12.53961195,49.52005731,35.42253399,84.9425913,Belgium,16.525418459999997
BRA,2024,32.32264148,23.60676585,17.43193329,28.21767617,29.52805305,24.82233749,54.35039054,2.80018822,8.174326877,48.04816745,40.97731745,89.02548490000001,Brazil,8.715875630000003
BGR,2024,37.96643911,20.69043812,26.53045028,37.89394246,20.93707741,14.63852985,35.57560726,1.377162663,5.047546805,46.11360394,47.46168659,93.57529052999999,Bulgaria,17.276000990000004
CHL,2024,38.29057905,28.43463019,12.21821526,30.90250641,29.20382322,27.67545511,56.879278330000005,5.561847981,10.79071914,43.39736824,40.25006464,83.64743288,Chile,9.855948859999998
COL,2024,38.68772573,25.98816868,24.56575827,44.78385531,20.12535372,10.5250327,30.65038642,1.357308784,5.193052003,49.9476577,43.50198151,93.44963921,Colombia,12.699557049999996
CRI,2024,41.1664376,29.30295399,11.54430299,23.28376663,24.56304693,40.60888345,65.17193037999999,6.147552151,13.40739735,46.01341621,34.43163429,80.44505050000001,Costa Rica,11.863483610000003
HRV,2024,40.5241512,20.88389012,12.20747178,30.95793447,32.85957664,23.97501711,56.834593749999996,3.91889793,13.04451299,57.70750299,25.32908609,83.03658908,Croatia,19.64026108
CYP,2024,31.61780401,18.09588787,27.83244381,42.3763185,18.84176397,10.94947372,29.79123769,3.680365532,15.24416709,58.28856564,22.78690173,81.07546737,Cyprus,13.521916140000002
CZE,2024,38.81543967,19.02089633,14.53976142,34.39901554,29.31124608,21.74997696,51.06122304,1.931791472,9.57894513,58.02684573,30.46241767,88.4892634,Czechia,19.794543340000004
DNK,2024,38.91101345,19.43510223,20.81777367,36.86490501,28.50499253,13.81232879,42.31732132,1.908034349,10.48268953,46.25436887,41.35490725,87.60927612,Denmark,19.47591122
EST,2024,37.78924346,20.70457862,18.67847403,42.19421015,26.57988673,12.54742909,39.12731582,2.144324038,14.71730975,59.9956648,23.14270142,83.13836622,Estonia,17.084664840000002
FIN,2024,34.74974134,21.5943203,22.0839092,37.74075578,25.78079244,14.39454258,40.17533502,3.550457958,14.57994792,54.26925303,27.60034109,81.86959412,Finland,13.15542104
FRA,2024,37.22539548,18.96158896,15.24032123,27.10019458,29.30864392,28.35084027,57.65948419,4.933058889,15.4291965,49.85492648,29.78281812,79.6377446,France,18.263806520000003
HUN,2024,40.1488926,21.41869386,15.51675538,29.43399473,30.96845076,24.08079912,55.04924988,2.934189213,9.974122464,48.73942698,38.35226134,87.09168832,Hungary,18.730198740000002
ISL,2024,36.74423362,19.72343105,34.3821963,34.32747149,18.61416269,12.67616951,31.2903322,2.147231829,6.802554214,47.83061132,43.21960264,91.05021396000001,Iceland,17.020802570000004
ISR,2024,29.97675409,20.75572553,32.79698948,38.83889497,18.51408419,9.850031353,28.364115542999997,2.351415816,8.221051301,43.08170055,46.34583234,89.42753289000001,Israel,9.22102856
ITA,2024,31.01927198,17.4963319,13.21618648,30.54720148,35.26560382,20.97100822,56.236612040000004,3.128963394,10.22397341,56.95893805,29.68812515,86.6470632,Italy,13.522940079999998
JPN,2024,53.00846577,17.39303129,9.389192698,27.78850743,29.96702496,32.85527491,62.822299869999995,11.66822068,32.61994795,45.16832434,10.54350703,55.71183137,Japan,35.615434480000005
KAZ,2024,34.80946143,22.37558149,40.94046349,33.66012258,15.24695182,10.15246212,25.39941394,1.969883194,8.417797476,58.88970505,30.72261428,89.61231933,Kazakhstan,12.43387994
KOR,2024,43.09914981,18.65225721,13.91414498,36.4509953,27.0970233,22.53783642,49.63485972,5.313343456,22.20249539,50.14764931,22.33651184,72.48416115,Korea,24.4468926
XKV,2024,29.02494225,18.92929346,20.33492366,32.5099528,28.19303245,18.96209109,47.155123540000005,2.308927869,7.084288063,46.58619148,44.02059259,90.60678407,Kosovo,10.095648789999998
LVA,2024,36.83199144,22.24961676,14.94360218,46.73615075,29.76667554,8.553571522,38.320247062,0.895990773,9.995759908,58.50196017,30.60628915,89.10824932,Latvia,14.582374680000004
LTU,2024,39.14677421,22.42764673,10.33900966,38.49293252,35.66740951,15.5006483,51.16805781,2.008355681,13.85539996,54.24936901,29.88687535,84.13624436,Lithuania,16.719127479999997
MLT,2024,37.73058637,18.77982886,14.05729026,32.47542896,30.42468614,23.04259464,53.467280779999996,2.988184645,10.24352113,52.90471835,33.86357587,86.76829422,Malta,18.95075751
MNE,2024,35.7251795,20.15310073,10.39136312,23.35034646,31.02940292,35.2288875,66.25829042,2.642542226,9.835670589,51.79142639,35.7303608,87.52178719,Montenegro,15.572078770000005
MAR,2024,30.42569931,21.41463735,42.36818043,32.99313741,19.03843717,5.600244981,24.638682151,6.148442654,14.94564148,55.78417275,23.12174312,78.90591587,Morocco,9.01106196
NLD,2024,34.52410968,16.15859448,15.54675834,34.49542701,28.71778989,21.24002477,49.95781466,1.598448716,15.28595673,56.21481801,26.90077655,83.11559456,Netherlands,18.3655152
