DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,STATISTICAL_OPERATION,EDUCATION_LEV,AGE,SEX,URBANISATION,INSTITUTION_TYPE,STUDENTS_CHARACTERISTICS,TEACHER_PROFILE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,ATTRIBUTE_TALIS
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ISL,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,19.72343105,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ZAF,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,26.6087358,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SAU,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.71904189,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),KOR,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.65225721,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AZE,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,19.44070377,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SRB,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.57401142,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),FIN,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.5943203,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),USA,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,27.37337546,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),UZB,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.8264106,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),OECD,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.21273446,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SGP,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,17.56677225,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),VNM,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.31383833,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),LTU,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,22.42764673,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MKD,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.24185879,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CZE,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,19.02089633,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVK,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.51948122,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MLT,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.77982886,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),DNK,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,19.43510223,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFL,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.58617274,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NZL,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.83369279,2,A,0,Q15_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BGR,_Z,Q15_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.69043812,2,A,0,Q15_1
