DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,STATISTICAL_OPERATION,EDUCATION_LEV,AGE,SEX,URBANISATION,INSTITUTION_TYPE,STUDENTS_CHARACTERISTICS,TEACHER_PROFILE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,ATTRIBUTE_TALIS
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFR,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,34.6318521,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CRI,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,24.56304693,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUT,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,28.4799476,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),TUR,_Z,Q77_B_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.9712079,2,A,0,Q77_B_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ALB,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.04394147,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CHL,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,30.90250641,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NLD,_Z,Q77_B_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,15.54675834,2,A,0,Q77_B_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CA48,_Z,Q77_B_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,22.7747662,2,A,0,Q77_B_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HRV,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,30.95793447,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),KAZ,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,33.66012258,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),UZB,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,33.7888284,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CZE,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,29.31124608,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HUN,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,24.08079912,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SGP,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,19.49346592,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ROU,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.88098108,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SRB,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,26.2909417,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CN09,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.64317723,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),DNK,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,28.50499253,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ESP,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.99839654,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),COL,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.12535372,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MKD,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,34.01395516,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),OECD,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.11409157,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),VNM,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,39.59704599,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NLD,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.24002477,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),TUR,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.51018474,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFL,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.86532491,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NZL,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.82455659,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ZAF,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.36957264,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),OECD,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,28.62303032,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFR,_Z,Q77_B_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,13.13435251,2,A,0,Q77_B_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),USA,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.10873539,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NOR,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,33.79866167,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),COL,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,44.78385531,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),LVA,_Z,Q77_B_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,14.94360218,2,A,0,Q77_B_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),PRT,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.89067934,2,A,0,Q77_B_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MAR,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.99313741,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVN,_Z,Q77_B_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,7.584575376,2,A,0,Q77_B_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),JPN,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.85527491,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.93648703,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q77_B_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.15844618,2,A,0,Q77_B_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CZE,_Z,Q77_B_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,34.39901554,2,A,0,Q77_B_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AZE,_Z,Q77_B_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.90214071,2,A,0,Q77_B_3
