DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,STATISTICAL_OPERATION,EDUCATION_LEV,AGE,SEX,URBANISATION,INSTITUTION_TYPE,STUDENTS_CHARACTERISTICS,TEACHER_PROFILE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,ATTRIBUTE_TALIS
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),TUR,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,7.680231007,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ISL,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,43.21960264,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.091751342,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CN09,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.10037564,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEL,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,49.52005731,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CA48,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,4.682589202,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NLD,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,1.598448716,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ZAF,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,27.91331428,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVK,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.48603847,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ARE,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,36.68022292,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,30.16057093,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),VNM,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,26.20985378,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SAU,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,39.24126821,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BHR,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,12.65416987,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MNE,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,2.642542226,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NLD,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,56.21481801,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),POL,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,57.74421691,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MLT,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,10.24352113,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),LVA,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,58.50196017,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),TUR,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,51.15690946,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),KAZ,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,8.417797476,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),UZB,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,7.278590514,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MKD,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,31.44453511,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CYP,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,58.28856564,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SRB,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,29.38155187,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ESP,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.171926027,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SRB,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,11.70611929,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SGP,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.911524755,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),XKV,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,46.58619148,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MNE,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.7303608,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HUN,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,2.934189213,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),LTU,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,13.85539996,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MAR,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,23.12174312,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SWE,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.57235917,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),FRA,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,15.4291965,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NOR,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,39.91966092,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SAU,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,8.795646891,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ROU,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,39.68773955,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HRV,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,25.32908609,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVK,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,14.60852183,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MKD,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.446522939,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CHL,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,5.561847981,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ISL,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,6.802554214,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AZE,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,30.26825306,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),OECD,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,13.22763828,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ARE,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,2.847179398,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CA48,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.23676865,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CRI,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,46.01341621,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CA48,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,48.7976815,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BGR,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,1.377162663,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CHL,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,10.79071914,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFR,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.472563917,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVN,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,16.31564581,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),COL,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,43.50198151,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ROU,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,2.189282534,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ROU,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,9.012074548,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),PRT,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,56.72100562,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BGR,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,5.047546805,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HRV,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,13.04451299,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CRI,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,13.40739735,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ESP,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,39.37501592,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BRA,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,48.04816745,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFL,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,50.32365571,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ZAF,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,18.51953079,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFL,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,36.13253692,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NLD,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,26.90077655,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEL,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,2.517796757,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ZAF,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,9.081810978,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),DNK,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,10.48268953,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVN,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,21.89584792,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CYP,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.680365532,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),TUR,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.8114786,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SGP,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,20.77052449,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),XKV,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,2.308927869,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SGP,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,60.96048539,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HRV,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,57.70750299,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ALB,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,51.03016403,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SAU,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.617149317,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),XKV,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,7.084288063,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUT,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,10.76908876,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,52.75255243,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HRV,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.91889793,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MAR,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,6.148442654,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVN,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,58.64162399,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ESP,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,46.65143626,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ARE,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,8.654075856,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFL,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,11.62322722,2,A,0,Q78_C_2
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MLT,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,33.86357587,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUT,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,36.91707798,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),OECD,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,51.03925744,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ITA,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,56.95893805,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFR,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,34.28745591,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HUN,_Z,Q78_C_4,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.35226134,2,A,0,Q78_C_4
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),DNK,_Z,Q78_C_3,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,46.25436887,2,A,0,Q78_C_3
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVN,_Z,Q78_C_1,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,3.146882284,2,A,0,Q78_C_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q78_C_2,PT_RESP,COUNT,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,13.9951253,2,A,0,Q78_C_2
